Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
NMS,2024-09-03,2024-09-10,FALSE,National,,1297,0.563,,0.1,0.321,0.113,0.078,0.077,,0.045,0.025,0.019,0.045,0.092,0.023,0.022,,0.011,,,,,,0.052,0.055,,,0.011,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-zari-2024-ano-by-s-prisahou-a-motoristy-ziskalo-vetsinu-ve-snemovne/
STEM,2024-08-29,2024-09-08,FALSE,National,,1095,0.56,,0.1,0.334,0.149,0.078,0.074,,0.046,0.028,0.035,0.056,0.068,0.018,0.027,,0.01,,,,,,0.033,0.026,,,0.01,,,,,,,,,,,,,,,,,,,,,0.009,https://www.stem.cz/volebni-tendence-ceske-verejnosti-zari-2024/
Median,2024-08-01,2024-08-31,FALSE,National,,1011,0.595,611,0.5,0.325,0.13,0.095,0.11,,0.035,0.02,0.035,0.045,0.095,,0.02,,0.01,,,,,,0.035,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2024/09/Volby_PS_2024_08_v01VD.pdf
NMS,2024-08-01,2024-08-08,FALSE,National,,1291,0.565,,0.1,0.293,0.143,0.08,0.06,,0.057,0.028,0.024,0.047,0.096,0.017,0.023,,0.01,,,,,,0.046,0.041,,,0.015,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-srpen-2024-prisaha-i-motoriste-sobe-jsou-samostatne-pod-petiprocentni-hranici/
NMS,2024-07-04,2024-07-12,FALSE,National,,1307,0.546,,0.1,0.282,0.113,0.091,0.068,,0.056,0.032,0.032,0.052,0.101,0.032,0.016,,0.012,,,,,,0.072,,,,0.014,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cervenec-2024-prisaha-a-kscm-dale-oslabuji-hnuti-ano-a-spd/
Median,2024-07-01,2024-07-31,FALSE,National,,1013,0.61,608,0.5,0.33,0.14,0.08,0.08,,0.04,0.035,0.025,0.04,0.09,,0.025,,0.02,,,,,,0.05,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2024/08/Volby_PS_2024_07_v01VD.pdf
Median,2024-06-01,2024-06-30,FALSE,National,,1003,0.67,674,0.5,0.305,0.12,0.105,0.085,,0.045,0.025,0.045,0.05,0.09,,0.02,,0.01,,,,,,0.05,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2024/08/Volby_PS_2024_06_v02VD.pdf
Kantar,2024-06-10,2024-06-21,FALSE,National,,1200,,1035,0.5,0.34,0.16,0.09,0.06,,0.03,0.025,0.03,0.04,0.085,0.025,0.025,,,,,,,,0.045,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-si-pohorsili-pirati-i-spd-lepe-je-na-tom-ano-350726
Kantar,2024-06-10,2024-06-21,FALSE,National,w/ SPOLU,1200,,1033,0.5,0.345,,0.09,0.06,,0.03,0.025,,,0.085,0.025,0.025,,,,,0.225,,,0.045,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-si-pohorsili-pirati-i-spd-lepe-je-na-tom-ano-350726
STEM,2024-06-10,2024-06-17,FALSE,National,,1609,0.59,,0.1,0.329,0.148,0.087,0.073,,0.051,0.025,0.025,0.045,0.068,0.02,0.02,,0.017,,,,,,0.037,0.027,,,0.019,,,,,,,,,,,,,,,,,,,,,0.009,https://www.stem.cz/volebni-tendence-ceske-verejnosti-cerven-2024/
NMS,2024-06-04,2024-06-12,FALSE,National,,1356,,,0.1,0.302,0.109,0.125,0.076,,0.06,0.037,0.021,0.034,0.079,0.037,0.014,,0.019,,,,,,0.064,,,,0.025,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cervenec-2024-prisaha-a-kscm-dale-oslabuji-hnuti-ano-a-spd/
EU ELECTION,2024-06-07,2024-06-08,FALSE,European,,8212628,0.3645,2968889,0.01,0.2614,,0.062,0.0573,,0.0956,0.0186,,,0.087,0.0176,0.0155,,,,,0.2227,,,,,0.1026,0.0025,0.0215,,,,,,,,,,,,,,,,,,,,,,
Median,2024-05-06,2024-05-31,FALSE,National,,1013,0.6,606,0.5,0.33,0.145,0.1,0.075,,0.04,0.035,0.02,0.055,0.085,,0.015,,0.015,,,,,,0.03,,,,0.035,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2024/07/Volby_PS_2024_05_v03VD.pdf
NMS,2024-05-07,2024-05-13,FALSE,National,,1324,,,0.1,0.297,0.123,0.108,0.07,,0.054,0.036,0.023,0.046,0.101,0.022,0.02,,0.017,,,,,,0.054,,,,0.018,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cervenec-2024-prisaha-a-kscm-dale-oslabuji-hnuti-ano-a-spd/
Kantar,2024-04-22,2024-05-10,FALSE,National,,1200,,1008,0.5,0.32,0.155,0.11,0.09,,0.025,0.03,0.035,0.05,0.075,0.015,0.025,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-si-v-modelu-kantaru-dal-pohorsilo-petikoalice-by-ale-vetsinu-nemela-349364
Kantar,2024-04-22,2024-05-10,FALSE,National,w/ SPOLU,1200,,989,0.5,0.325,,0.11,0.09,,0.025,0.03,,,0.075,0.015,0.025,,,,,0.225,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-si-v-modelu-kantaru-dal-pohorsilo-petikoalice-by-ale-vetsinu-nemela-349364
Median,2024-04-05,2024-04-25,FALSE,National,,1003,0.645,647,0.5,0.325,0.13,0.1,0.1,,0.035,0.045,0.035,0.035,0.08,,0.025,,0.015,,,,,,0.025,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2024/04/Volby_PS_2024_04_v01IC.pdf
NMS,2024-04-04,2024-04-10,FALSE,National,,1339,,,0.1,0.303,0.139,0.091,0.091,,0.052,0.025,0.026,0.043,0.089,0.039,0.014,,0.011,,,,,,0.034,,,,0.023,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cervenec-2024-prisaha-a-kscm-dale-oslabuji-hnuti-ano-a-spd/
Kantar,2024-03-18,2024-04-05,FALSE,National,,1200,,1015,0.5,0.345,0.16,0.105,0.08,,0.03,0.03,0.03,0.045,0.065,0.025,0.02,,,,,,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/priliv-preferenci-pro-ano-se-nepotvrdil-v-novem-modelu-kantaru-si-pohorsilo-348171
Kantar,2024-03-18,2024-04-05,FALSE,National,w/ SPOLU,1200,,1015,0.5,0.355,,0.11,0.08,,0.03,0.03,,,0.065,0.025,0.02,,,,,0.215,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/clanek/domaci/priliv-preferenci-pro-ano-se-nepotvrdil-v-novem-modelu-kantaru-si-pohorsilo-348171
Median,2024-03-05,2024-04-03,FALSE,National,,1041,0.625,653,0.5,0.32,0.14,0.105,0.07,,0.045,0.045,0.035,0.035,0.06,,0.03,,0.02,,,,,,0.035,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2024/04/Volby_PS_2024_03_v03IC.pdf
STEM,2024-03-15,2024-03-25,FALSE,National,,1096,0.57,,0.1,0.329,0.145,0.105,0.093,,0.045,0.036,0.031,0.052,0.066,0.019,0.021,,0.008,,,,,,0.028,,,,0.019,,,,,,,,,,,,,,,,,,,,,0.004,https://www.stem.cz/volebni-tendence-ceske-verejnosti-3/
Ipsos,2024-02-23,2024-03-05,FALSE,European,,1517,,,0.1,0.263,,0.113,0.079,,0.061,0.027,,,0.134,0.028,,,,,,0.216,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.ipsos.com/fr-fr/europeennes-vers-une-progression-de-la-droite-radicale-au-parlement-europeen
Median,2024-02-01,2024-03-04,FALSE,National,,1006,0.6,604,0.5,0.31,0.125,0.11,0.095,,0.04,0.045,0.03,0.055,0.09,,0.02,,,,,,,,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2024/03/Volby_PS_2024_02_v02IC.pdf
Kantar,2024-02-12,2024-03-01,FALSE,National,,1200,,1015,0.5,0.385,0.145,0.095,0.09,,0.025,0.025,0.02,0.05,0.07,0.015,0.015,,,,,,,,0.015,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.095,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ma-ve-volebnim-modelu-kantaru-uz-skoro-dvojnasobek-toho-co-spolu-346957
Kantar,2024-02-12,2024-03-01,FALSE,National,w/ SPOLU,1200,,1004,0.5,0.39,,0.1,0.09,,0.025,0.025,,,0.075,0.02,0.02,,,,,0.2,,,0.015,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ma-ve-volebnim-modelu-kantaru-uz-skoro-dvojnasobek-toho-co-spolu-346957
Kantar,2024-01-15,2024-02-02,FALSE,National,,1200,,1013,0.5,0.35,0.155,0.095,0.095,,0.03,0.04,0.035,0.05,0.065,0.025,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ma-ve-volebnim-modelu-kantaru-35-procent-ods-posilila-pirati-oslabili-345934
Kantar,2024-01-15,2024-02-02,FALSE,National,w/ SPOLU,1200,,1001,0.5,0.355,,0.1,0.1,,0.03,0.04,,,0.07,0.025,0.01,,,,,0.225,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://ct24.ceskatelevize.cz/clanek/domaci/ano-ma-ve-volebnim-modelu-kantaru-35-procent-ods-posilila-pirati-oslabili-345934
Median,2024-01-15,2024-02-01,FALSE,National,,1019,0.645,658,0.5,0.315,0.12,0.13,0.105,,0.045,0.04,0.03,0.055,0.07,,0.015,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2024/02/Volby_PS_2024_01_v02IC.pdf
STEM,2024-01-18,2024-01-27,FALSE,National,,1092,0.6,,0.1,0.334,0.132,0.113,0.1,,0.048,0.031,0.027,0.05,0.07,0.017,0.025,,0.014,,,,,,0.026,,,,0.007,,,,,,,,,,,,,,,,,,,,,0.005,https://www.stem.cz/volebni-tendence-ceske-verejnosti-leden-2024/
Median,2023-11-29,2023-12-30,FALSE,National,,988,0.685,672,0.5,0.35,0.13,0.105,0.09,,0.045,0.045,0.025,0.06,0.065,,0.015,,,,,,,,0.025,,,,0.025,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2024/01/Volby_PS_2023_12_v01IC.pdf
Kantar,2023-11-13,2023-12-01,FALSE,National,,1200,,1029,0.5,0.345,0.125,0.115,0.1,,0.025,0.035,0.02,0.05,0.07,0.02,0.03,,0.02,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-ve-volebnim-modelu-kantaru-zvysuje-naskok-pokles-podpory-je-patrny-hlavne-u-ods-344036
Kantar,2023-11-13,2023-12-01,FALSE,National,w/ SPOLU,1200,,1022,0.5,0.345,,0.12,0.1,,0.025,0.04,,,0.07,0.02,0.03,,0.02,,,0.185,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-ve-volebnim-modelu-kantaru-zvysuje-naskok-pokles-podpory-je-patrny-hlavne-u-ods-344036
Median,2023-11-11,2023-11-30,FALSE,National,,1024,0.69,705,0.5,0.345,0.155,0.11,0.085,,0.035,0.045,0.04,0.055,0.06,,0.015,,0.015,,,,,,0.015,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2023/12/Volby_PS_2023_11_v02IC.pdf
Ipsos,2023-11-20,2023-11-28,FALSE,National,,1943,,,0.1,0.343,0.133,0.105,0.092,,0.025,0.041,0.043,0.051,0.066,0.022,0.01,,0.012,,,,,,0.028,,,,0.018,,,,,,,,,,,,,,,,,,,,,0.011,https://www.seznamzpravy.cz/clanek/domaci-politika-ano-splha-k-rekordnim-ziskum-ukazal-pruzkum-pro-seznam-zpravy-241119
STEM,2023-11-02,2023-11-14,FALSE,National,,1097,0.58,,0.1,0.332,0.116,0.102,0.12,,0.03,0.045,0.035,0.052,0.064,0.023,0.016,,0.012,,,,,,0.029,,,,0.019,,,,,,,,,,,,,,,,,,,,,0.004,https://www.stem.cz/volebni-tendence-ceske-verejnosti-listopad-2023/
Kantar,2023-10-16,2023-11-03,FALSE,National,,1200,,988,0.5,0.325,0.155,0.105,0.105,,0.035,0.035,0.025,0.045,0.07,0.015,0.015,,0.015,,,,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,https://ct24.ceskatelevize.cz/sites/default/files/2719964-trendy_ceska_87vlna_volebnimodel.pdf
Kantar,2023-10-16,2023-11-03,FALSE,National,w/ SPOLU,1200,,984,0.5,0.33,,0.105,0.105,,0.035,0.035,,,0.07,0.015,0.015,,0.015,,,0.215,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.015,https://ct24.ceskatelevize.cz/sites/default/files/2719964-trendy_ceska_87vlna_volebnimodel.pdf
Median,2023-10-03,2023-10-31,FALSE,National,,1016,0.66,667,0.5,0.35,0.135,0.09,0.105,,0.03,0.035,0.035,0.06,0.06,,0.015,,,,,,,,0.03,,,,0.025,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2023/11/Volby_PS_2023_10_v01IC.pdf
Median,2023-09-05,2023-10-02,FALSE,National,,1017,0.66,668,0.5,0.34,0.13,0.115,0.095,,0.045,0.04,0.04,0.055,0.065,,0.02,,0.01,,,,,,0.01,,,,0.025,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2023/10/Volby_PS_2023_09_v01IC.pdf
Kantar,2023-09-11,2023-09-29,FALSE,National,,1200,,982,0.5,0.335,0.12,0.085,0.095,,0.03,0.035,0.035,0.05,0.075,0.03,0.02,,,,,,,,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/domaci/3619964-hnuti-ano-se-podle-volebniho-modelu-kantaru-drzi-na-svem-oslabuje-ods-i-pirati
Kantar,2023-09-11,2023-09-29,FALSE,National,w/ SPOLU,1200,,976,0.5,0.335,,0.085,0.095,,0.03,0.035,,,0.075,0.03,0.02,,,,,0.195,,,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/domaci/3619964-hnuti-ano-se-podle-volebniho-modelu-kantaru-drzi-na-svem-oslabuje-ods-i-pirati
STEM,2023-09-07,2023-09-17,FALSE,National,,1123,0.58,,0.1,0.308,0.131,0.096,0.109,,0.043,0.04,0.05,0.054,0.053,0.028,0.027,,0.011,,,,,,0.032,,,,0.012,,,,,,,,,,,,,,,,,,,,,0.006,https://www.stem.cz/volebni-tendence-ceske-verejnosti-zari-2023/
Median,2023-07-01,2023-08-08,FALSE,National,,1019,0.71,722,0.5,0.33,0.15,0.12,0.08,,0.03,0.05,0.04,0.055,0.065,,0.015,,0.01,,,,,,0.03,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.005,https://www.median.eu/cs/wp-content/uploads/2023/08/Volby_PS_2023_07_v02IC.pdf
Median,2023-06-12,2023-06-30,FALSE,National,,1007,0.735,799,0.5,0.355,0.14,0.11,0.1,,0.025,0.04,0.02,0.05,0.055,,0.025,,0.025,,,,,,0.025,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2023/07/Volby_PS_2023_06_v04MM.pdf
Kantar,2023-05-15,2023-06-02,FALSE,National,,1200,,962,0.5,0.335,0.17,0.115,0.08,,0.035,0.03,0.04,0.035,0.065,0.005,0.02,,,,,,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/sites/default/files/2700799-trendy_ceska_85vlna_volebni_model.pdf
Kantar,2023-05-15,2023-06-02,FALSE,National,w/ SPOLU,1200,,955,0.5,0.335,,0.115,0.08,,0.035,0.035,,,0.06,0.005,0.025,,,,,0.24,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/sites/default/files/2700799-trendy_ceska_85vlna_volebni_model.pdf
Median,2023-05-01,2023-06-02,FALSE,National,,1012,0.775,860,0.5,0.345,0.15,0.105,0.085,,0.035,0.04,0.04,0.055,0.06,,,,0.025,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2023/06/Volby_PS_2023_05_v02IC.pdf
STEM,2023-05-18,2023-05-29,FALSE,National,,1141,0.58,,0.1,0.335,0.146,0.108,0.093,,0.038,0.041,0.034,0.047,0.058,0.022,0.023,,0.014,,,,,,0.029,,,,0.012,,,,,,,,,,,,,,,,,,,,,0.002,https://www.stem.cz/volebni-tendence-ceske-verejnosti-kveten-2023/
Kantar,2023-04-17,2023-05-05,FALSE,National,,1200,,981,0.5,0.305,0.17,0.11,0.09,,0.025,0.055,0.05,0.05,0.06,0.01,0.02,,,,,,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/sites/default/files/2696003-trendy_ceska_2023_vlna_84_volebnimodel.pdf
Kantar,2023-04-17,2023-05-05,FALSE,National,w/ SPOLU,1200,,964,0.5,0.31,,0.115,0.095,,0.025,0.055,,,0.065,,0.02,,,,,0.25,,,0.025,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/sites/default/files/2696003-trendy_ceska_2023_vlna_84_volebnimodel.pdf
Median,2023-04-01,2023-05-02,FALSE,National,,1015,0.74,845,0.5,0.31,0.15,0.105,0.085,,0.04,0.04,0.055,0.045,0.075,,0.02,,0.015,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2023/05/Volby_PS_2023_04_v03MM.pdf
Kantar,2023-03-20,2023-04-06,FALSE,National,,1200,,941,0.5,0.295,0.2,0.11,0.08,,0.025,0.05,0.03,0.04,0.055,0.015,0.015,,,,,,,,0.035,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/sites/default/files/2692038-trendy_ceska_2023_vlna_83_volebni_model.pdf
Kantar,2023-03-20,2023-04-06,FALSE,National,w/ SPOLU,1200,,943,0.5,0.295,,0.105,0.08,,0.025,0.05,,,0.055,,0.015,,,,,0.275,,,0.035,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/sites/default/files/2692038-trendy_ceska_2023_vlna_83_volebni_model.pdf
Median,2023-03-02,2023-04-03,FALSE,National,,1006,0.775,864,0.5,0.345,0.155,0.085,0.1,,0.03,0.04,0.04,0.05,0.08,,0.02,,0.03,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2023/04/Volby_PS_2023_03_v02IC.pdf
Median,2023-02-12,2023-03-07,FALSE,National,,1011,0.755,886,0.5,0.32,0.145,0.115,0.095,,0.035,0.05,0.035,0.05,0.07,,0.02,,0.015,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2023/03/Volby_PS_2023_02_v04IC.pdf
Kantar,2023-02-13,2023-03-03,FALSE,National,,1200,,970,0.5,0.295,0.215,0.09,0.085,,0.02,0.045,0.04,0.05,0.07,0.015,,,,,,,,,0.025,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/2687706-trendy_ceska_82vlna_volebnimodel.pdf
Kantar,2023-02-13,2023-03-03,FALSE,National,"w/ SPOLU, PirSTAN",1200,,951,0.5,0.305,,,0.09,,0.02,0.05,,,,,,,,,,0.31,0.13,,0.025,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/sites/default/files/2687706-trendy_ceska_82vlna_volebnimodel.pdf
STEM,2022-11-29,2022-12-05,FALSE,National,,2005,0.593,,0.1,0.308,0.139,0.094,0.124,,0.042,0.04,0.049,0.046,0.064,0.014,0.023,,0.018,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://www.stem.cz/volebni-tendence-ceske-verejnosti-zacatek-prosince-2022/
Kantar,2022-10-17,2022-11-04,FALSE,National,,1200,,1000,0.5,0.265,0.215,0.115,0.11,,0.025,0.035,0.035,0.055,0.06,0.005,,,0.02,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/sites/default/files/2673101-trendy_ceska_2022_vlna_81_volebni_model.pdf
Kantar,2022-10-17,2022-11-04,FALSE,National,"w/ SPOLU, PirSTAN",1200,,968,0.5,0.28,,,0.115,,0.03,0.04,,,,,,,0.02,,,0.315,0.14,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/sites/default/files/2673101-trendy_ceska_2022_vlna_81_volebni_model.pdf
Median,2022-10-01,2022-10-31,FALSE,National,,1005,0.755,831,0.5,0.315,0.135,0.11,0.12,,0.02,0.055,0.06,0.05,0.055,,0.02,,0.015,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2022/11/Volby_PS_2022_10_v04IC-1.pdf
Kantar,2022-09-12,2022-09-30,FALSE,National,,1200,,997,0.5,0.295,0.18,0.09,0.115,,0.02,0.025,0.06,0.04,0.075,0.015,0.02,,0.01,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/sites/default/files/2669145-trendy_zari2022model.pdf
Kantar,2022-09-12,2022-09-30,FALSE,National,"w/ SPOLU, PirSTAN",1200,,968,0.5,0.315,,,0.12,,0.02,0.025,,,,,0.02,,0.01,,,0.285,0.12,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/sites/default/files/2669145-trendy_zari2022model.pdf
Median,2022-09-01,2022-09-30,FALSE,National,,1010,0.725,818,0.5,0.305,0.16,0.11,0.115,,0.025,0.045,0.025,0.06,0.055,,0.02,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2022/10/Volby_PS_2022_09_v04IC.pdf
STEM,2022-09-01,2022-09-08,FALSE,National,,2003,0.593,,0.1,0.3,0.142,0.094,0.143,,0.032,0.04,0.045,0.05,0.05,0.02,0.016,,0.016,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.018,https://www.stem.cz/volebni-tendence-ceske-verejnosti/#more-7298
Kantar,2022-08-15,2022-09-02,FALSE,National,,1200,,937,0.5,0.305,0.195,0.085,0.11,,0.035,0.03,0.04,0.045,0.065,0.02,0.01,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/sites/default/files/2666135-trendy_ceska_2022_vlna_79_srpen_2022.pdf
Kantar,2022-08-15,2022-09-02,FALSE,National,"w/ SPOLU, PirSTAN",1200,,893,0.5,0.32,,,0.11,,0.04,0.035,,,,,,,,,,0.29,0.1,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.07,https://ct24.ceskatelevize.cz/sites/default/files/2666135-trendy_ceska_2022_vlna_79_srpen_2022.pdf
Median,2022-08-01,2022-08-31,FALSE,National,,1005,0.755,829,0.5,0.29,0.16,0.115,0.14,,0.035,0.05,0.035,0.035,0.04,,0.02,,0.02,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2022/09/Volby_PS_2022_08_v03IC.pdf
STEM,2022-08-04,2022-08-11,FALSE,National,,2093,0.605,,0.1,0.311,0.155,0.093,0.119,,0.034,0.048,0.034,0.056,0.055,0.017,0.025,,0.014,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,0.007,https://www.stem.cz/volebni-tendence-ceske-verejnosti-2/
Median,2022-07-08,2022-08-02,FALSE,National,,1005,0.73,736,0.5,0.3,0.155,0.105,0.125,,0.025,0.05,0.045,0.05,0.055,,0.02,,0.025,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2022/08/Volby_PS_2022_07_v05IC.pdf
Median,2022-05-20,2022-07-04,FALSE,National,,1006,0.73,735,0.1,0.29,0.161,0.118,0.125,,0.028,0.056,0.046,0.052,0.048,,0.018,,0.016,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,0.018,https://www.median.eu/cs/wp-content/uploads/2022/07/Volby_PS_2022_06_v04IC.pdf
Kantar,2022-05-16,2022-06-02,FALSE,National,,1200,,962,0.5,0.28,0.225,0.085,0.11,,0.025,0.045,0.035,0.04,0.065,0.015,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24admin.ceskatelevize.cz/sites/default/files/2654013-trendy_ceska_2022_vlna_78_volebnimodel.pdf
Kantar,2022-05-16,2022-06-02,FALSE,National,"w/ SPOLU, PirSTAN",1200,,923,0.5,0.295,,,0.115,,0.025,0.05,,,,,0.025,,,,,0.285,0.125,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24admin.ceskatelevize.cz/sites/default/files/2654013-trendy_ceska_2022_vlna_78_volebnimodel.pdf
Median,2022-05-01,2022-06-02,FALSE,National,,1018,0.755,767,0.5,0.285,0.165,0.09,0.115,,0.03,0.055,0.045,0.045,0.085,,0.01,,0.025,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2022/06/Volby_PS_2022_06_v03IC.pdf
Kantar,2022-04-08,2022-04-29,FALSE,National,"w/o SPOLU, PirSTAN",1200,,1000,0.5,0.275,0.26,0.05,0.11,,0.02,0.025,0.045,0.03,0.1,0.01,0.02,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/sites/default/files/2645288-trendy_ceska_vlna_77_cele.pdf
Kantar,2022-04-08,2022-04-29,FALSE,National,,1200,,980,0.5,0.285,,,0.11,,0.02,0.04,,,,,0.02,,,,,0.335,0.115,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/sites/default/files/2645288-trendy_ceska_vlna_77_cele.pdf
